t,X_mean,X_sd
0.778,0.77378756,0.03535714
0.308,0.2796858,0.025168957
0.748,0.74156624,0.034119643
0.037,-0.000565424,0.028913366
0.692,0.7064966,0.03164508
0.392,0.3923694,0.030674934
0.51,0.5056293,0.032921102
0.295,0.27858904,0.0177816
0.82,0.812178,0.033824198
0.728,0.6715506,0.038305227
0.145,0.07364307,0.02338021
0.785,0.79054034,0.037982125
0.0279999999999999,0.005813618,0.024988374
0.777,0.8262392,0.043947954
0.092,0.115661114,0.024828749
0.827,0.8361865,0.034818783
0.422,0.3797369,0.02920216
0.204,0.19384888,0.024491195
0.453999999999999,0.4466729,0.03240679
0.57,0.5717616,0.031747006
0.537,0.5577468,0.033358693
0.518,0.5003752,0.0335365
0.723,0.6812603,0.040415414
0.079,0.083379276,0.026530208
0.407,0.40911254,0.031447336
0.188999999999999,0.1395977,0.025166526
0.765,0.76184285,0.03099842
0.682999999999999,0.66007364,0.03495829
0.767,0.8017048,0.04707879
0.698,0.7063411,0.031750258
0.486,0.47847706,0.03594774
0.198999999999999,0.16343874,0.02495022
0.15,0.13302955,0.023128359
0.541,0.516291,0.033908382
0.446,0.42628694,0.03021613
0.719,0.72460246,0.032837797
0.183,0.16475536,0.022758266
0.519,0.50540006,0.033128385
0.226999999999999,0.21280286,0.033559874
0.142,0.09744176,0.024511868
0.595,0.57418716,0.032158155
0.397,0.34501657,0.028809104
0.655999999999999,0.61685103,0.03142487
0.617,0.57426697,0.033243008
0.763,0.76172924,0.043037005
0.096,0.06214487,0.026764233
0.283,0.28370252,0.03706101
0.695,0.7158588,0.031556528
0.151,0.1007269,0.024588358
0.621,0.55593795,0.029807528
0.677999999999999,0.66404474,0.034724582
0.171,0.09074082,0.024114085
0.743,0.73834777,0.041286662
0.703,0.654465,0.03340255
0.237,0.23250104,0.026194483
0.52,0.51192766,0.03178322
0.061,0.05693471,0.027431445
0.657999999999999,0.60764813,0.03500432
0.136,0.14118505,0.024236683
0.511,0.51885784,0.033474606
0.335,0.32843667,0.03202898
0.304,0.34514618,0.033852186
0.181,0.0777546,0.02152216
0.278999999999999,0.13678758,0.03656675
0.31,0.27115372,0.023896659
0.338999999999999,0.26991233,0.019790264
0.208,0.10557731,0.022170052
0.186,0.14136744,0.02439067
0.302,0.26665387,0.039746687
0.193,0.13293494,0.024136899
0.313,0.289449,0.020427667
0.215,0.1845332,0.02404923
0.327,0.37541077,0.039077617
0.542999999999999,0.54473,0.033003304
0.451,0.4203519,0.032313813
0.452,0.4753971,0.03226106
0.412,0.41096717,0.030270044
0.393999999999999,0.36610764,0.030363755
0.594,0.58694774,0.030169405
0.432,0.43300313,0.029055977
0.467999999999999,0.4255057,0.03145054
0.466,0.45126522,0.031504806
0.413,0.41772527,0.031793542
0.552,0.5425741,0.033399034
0.421,0.4110473,0.031556815
0.59,0.63411295,0.030509135
0.434,0.42555085,0.034416217
0.452999999999999,0.4489957,0.029319383
0.542,0.5940387,0.031865515
0.411,0.39616552,0.030388683
0.384,0.3911651,0.02831274
0.386,0.39125744,0.031117912
0.442999999999999,0.4070145,0.032352872
0.528,0.52665055,0.03070782
0.65,0.6740427,0.031482868
0.488,0.50256884,0.0316392
0.513,0.5786755,0.0320595
0.56,0.61640316,0.03299328
0.606,0.6556305,0.030886441
0.591,0.6138691,0.031041486
0.595,0.6022343,0.031764843
0.633,0.6516884,0.031380665
0.567,0.63739985,0.030444436
0.545,0.62152237,0.036268625
0.575,0.6493647,0.032025527
0.578,0.639434,0.032151755
0.589,0.56227416,0.030824272
0.571,0.5679978,0.03487083
0.589,0.6420391,0.032038234
0.577,0.63269025,0.03329567
0.597,0.6669758,0.030646857
0.653,0.6402512,0.032611176
0.568,0.5230661,0.033895176
0.553999999999999,0.5457959,0.033799715
0.582,0.62441623,0.031521726
0.532,0.5480443,0.031712387
0.546,0.5606907,0.03081134
0.986,0.964966,0.030461026
0.018,0.034687392,0.029699143
0.883,0.90284127,0.03631973
0.0,-0.016460426,0.026786199
0.442,0.44315988,0.030060261
0.821,0.7895617,0.031756982
0.917999999999999,0.88603127,0.038253035
0.919,0.86175525,0.037089497
0.296,0.35120273,0.028869612
0.257,0.2891303,0.024510967
0.993,0.9568401,0.03222523
0.55,0.5592691,0.031788707
0.402999999999999,0.41535795,0.027829522
0.863,0.8305788,0.03243709
0.006,0.03324457,0.02961522
0.389,0.41104668,0.03020905
0.025,0.056848876,0.028462445
0.081,0.1422224,0.02381245
0.423,0.44952506,0.032055892
0.988,1.0048804,0.029553967
0.944,0.9499693,0.029079568
0.41,0.41483453,0.029119149
0.114,0.124048844,0.024160989
0.969,0.96167314,0.028420566
0.109,0.11278705,0.02478773
0.395,0.4246118,0.0289028
0.794,0.78396344,0.033535015
0.977,1.0192665,0.030317647
0.963,0.9331707,0.027496597
0.43,0.40988755,0.029444383
0.831,0.8138896,0.032591123
0.042,0.10906552,0.028817292
0.0139999999999999,0.018404212,0.027937638
0.757,0.7733862,0.029044474
0.97,0.9505642,0.029489992
0.377999999999999,0.38570938,0.02857768
0.477,0.4938838,0.03096
0.912999999999999,0.85836166,0.036687765
0.665,0.65649,0.03547616
0.473,0.45973682,0.030825896
0.713,0.71709573,0.033068806
0.987,0.99336076,0.03481988
0.95,0.94586486,0.033915423
0.856,0.839665,0.0329114
0.614,0.6308025,0.030752115
0.469,0.430306,0.030246908
0.04,0.022546489,0.02981379
0.628,0.60937226,0.032193404
0.441,0.4634193,0.03290332
0.927,0.9475222,0.04085695
0.023,0.03320754,0.028294757
0.807,0.7914893,0.033223428
0.817,0.80293125,0.032682963
0.376,0.41188666,0.02979393
0.573,0.5921861,0.02967019
0.506,0.49318635,0.032748602
0.938,0.92693275,0.036310345
0.125,0.12728879,0.022976534
0.9,0.8659055,0.03379639
0.436,0.45184565,0.03111634
0.523,0.5339504,0.033047996
0.321,0.34487912,0.027155578
0.958,0.98265755,0.035516977
0.823,0.8167593,0.034496076
0.910999999999999,0.90964824,0.029265754
0.892,0.85708964,0.03261449
0.88,0.87352914,0.03267103
0.095,0.14748423,0.022765564
0.616,0.6034992,0.032508954
0.662999999999999,0.6164794,0.03080714
0.063,0.020527855,0.028053958
0.962,0.9630839,0.03202223
0.084,0.09149187,0.025206411
0.015,0.006716445,0.026943404
0.69,0.7149001,0.030810032
0.046,0.17615509,0.019172305
0.981,0.9363125,0.033318195
0.239,0.26189682,0.026921013
0.99,0.94907945,0.026891941
0.835,0.85836357,0.033841494
0.94,0.94267595,0.034094043
0.800999999999999,0.7702063,0.031134373
0.201999999999999,0.27003223,0.024185436
0.924,0.9123078,0.028755853
0.856,0.89922833,0.037091188
0.875999999999999,0.8403943,0.03255395
0.416,0.41430104,0.029501105
0.979,0.95905894,0.028587487
0.814,0.77510655,0.031455293
0.479,0.49519783,0.03195667
0.619,0.6084152,0.032642275
0.952,0.92916954,0.03067925
0.966,0.9373786,0.027726272
0.899,0.8655808,0.032894623
0.008,0.053685553,0.028532345
0.675,0.6905343,0.03051379
0.166,0.20724909,0.02029212
0.344,0.38555288,0.030583164
0.032,0.027418053,0.02683698
0.476,0.48009694,0.03214094
0.0069999999999999,0.02129655,0.023822274
0.812,0.87601924,0.041470267
0.22,0.23788846,0.033920754
0.945,0.92367625,0.029462494
0.547999999999999,0.51670015,0.03307897
0.071,0.06361439,0.025415279
0.537999999999999,0.54119724,0.031731978
0.123,0.18100865,0.021060398
0.184,0.15866727,0.027102793
0.39,0.41264358,0.029517906
0.762,0.74854916,0.036793742
0.664,0.64821815,0.03247501
0.755999999999999,0.75702375,0.035154317
0.795,0.8220168,0.038696956
0.866,0.84555197,0.033102944
0.836,0.82373405,0.033265326
0.102,0.116839916,0.023418503
0.136,0.13826926,0.022375654
0.172,0.2240151,0.019903695
0.534,0.5240876,0.033209894
0.069,0.043539263,0.02691486
0.789,0.78600377,0.036697198
0.873,0.8826765,0.035149176
0.927999999999999,0.9114461,0.03370645
0.372,0.42061633,0.02717703
0.973,0.9317619,0.031286012
0.077,0.071056865,0.025602689
0.103,0.11074877,0.024461275
0.985,1.020169,0.032371275
0.286,0.35708025,0.034745045
0.774,0.8088863,0.040504113
0.485,0.502356,0.032631256
0.005,-0.024119118,0.025920598
0.691,0.6880173,0.030440973
0.049,0.16814238,0.021488624
0.583,0.59941226,0.033207938
0.875999999999999,0.85416216,0.035901506
0.24,0.2559429,0.021481866
0.512,0.51460683,0.033950333
0.718,0.71760625,0.031693853
0.36,0.39349514,0.029325373
0.019,0.054580607,0.029004587
0.650999999999999,0.6414772,0.03218526
0.775,0.80940086,0.042414803
0.059,0.07932516,0.02893642
0.780999999999999,0.80407166,0.041372735
0.73,0.7361006,0.029041385
0.855,0.8672831,0.034432426
0.593,0.5502904,0.03369804
0.764,0.7667091,0.035915468
0.382,0.4022703,0.028687239
0.915999999999999,0.9200714,0.036195673
0.398999999999999,0.4355082,0.029998718
0.68,0.63413715,0.03318193
0.605,0.5915379,0.032754287
0.623,0.62843466,0.030135918
