N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,2.7716885,0.17893527
20,5,1,2,3.7212389963679,3.5645528,0.19372626
20,5,1,3,5.72853363351896,5.5839396,0.1831926
20,5,1,4,9.08207789994776,8.893775,0.19066896
20,5,1,5,2.01681931037456,1.8249091,0.25114673
20,5,1,6,8.98389684967697,8.89977,0.19476236
20,5,1,7,9.44675268605351,9.55369,0.18203671
20,5,1,8,6.60797792486846,6.9031816,0.1919656
20,5,1,9,6.2911404389888,6.9028544,0.18056461
20,5,1,10,0.617862704675645,0.8074055,0.23907219
20,5,1,11,2.05974574899301,2.019518,0.20130427
20,5,1,12,1.76556752528995,1.5350676,0.2138469
20,5,1,13,6.87022846657783,6.8381763,0.19025405
20,5,1,14,3.84103718213737,3.9940522,0.16565715
20,5,1,15,7.69841419998556,7.698148,0.20046555
20,5,1,16,4.97699242085218,4.971613,0.21674763
20,5,1,17,7.17618508264422,7.08893,0.19121176
20,5,1,18,9.91906094830483,10.133753,0.20723173
20,5,1,19,3.80035179434344,3.9842765,0.2017294
20,5,1,20,7.77445221319795,7.8056293,0.18671732
20,5,2,1,1.8488225992769,1.7648193,0.17409073
20,5,2,2,7.02374035958201,6.929878,0.21713562
20,5,2,3,5.73326334822923,6.0808187,0.2440173
20,5,2,4,1.68051920365542,1.6222306,0.17710781
20,5,2,5,9.43839338840917,9.410293,0.15346248
20,5,2,6,9.43474958650768,9.5383215,0.15630308
20,5,2,7,1.29158976720646,0.7853476,0.17507562
20,5,2,8,8.33448815625161,8.194836,0.16814639
20,5,2,9,4.68018515501171,4.456643,0.21593143
20,5,2,10,5.4998374171555,5.4902487,0.24426349
20,5,2,11,5.5267406697385,5.494145,0.22128998
20,5,2,12,2.3889475944452,2.354365,0.18297215
20,5,2,13,7.60513313114643,7.1898384,0.244364
20,5,2,14,1.80820100707933,2.0599186,0.18736194
20,5,2,15,4.05282181221992,4.1591153,0.23323323
20,5,2,16,8.53548452956602,8.591397,0.15507995
20,5,2,17,9.76398489437997,9.79281,0.17775087
20,5,2,18,2.25825461093336,2.2678514,0.15834072
20,5,2,19,4.44809229113162,4.57482,0.24249706
20,5,2,20,0.749794247094542,0.34331253,0.20839891
20,5,3,1,1.68041526339948,1.9605111,0.2970407
20,5,3,2,8.07516399072483,8.347739,0.2976947
20,5,3,3,3.84942351374775,4.0473995,0.29769805
20,5,3,4,3.27734317164868,3.4156408,0.29300943
20,5,3,5,6.02100674761459,5.956525,0.29355812
20,5,3,6,6.04394054040313,6.2413816,0.2992286
20,5,3,7,1.24633444240317,1.6868894,0.2962179
20,5,3,8,2.94600924244151,2.8776278,0.2932188
20,5,3,9,5.77609919011593,5.4728045,0.29335782
20,5,3,10,6.30979274399579,6.6431117,0.29597414
20,5,3,11,5.12015897547826,5.32601,0.2834438
20,5,3,12,5.05023914156482,4.9497285,0.28926292
20,5,3,13,5.34035353455693,5.829036,0.28842306
20,5,3,14,5.572494356893,5.3502283,0.29185522
20,5,3,15,8.6791948764585,8.692525,0.29612002
20,5,3,16,8.29708693316206,7.634186,0.29329735
20,5,3,17,1.1144915339537,1.1287152,0.29598114
20,5,3,18,7.0368835888803,7.5340753,0.30083334
20,5,3,19,8.97488264366984,8.767568,0.297457
20,5,3,20,2.79732553754002,2.4795127,0.29456395
20,5,4,1,5.85800305008888,5.654162,0.16176455
20,5,4,2,0.0894579570740461,0.5551223,0.295492
20,5,4,3,2.93739611981437,2.768802,0.25590065
20,5,4,4,2.77374957920983,2.2698524,0.24238886
20,5,4,5,8.13574214931577,8.38561,0.17108162
20,5,4,6,2.60427771368995,2.3586404,0.24358521
20,5,4,7,7.24405892658979,7.1728816,0.20166439
20,5,4,8,9.06092151300982,9.441678,0.1625454
20,5,4,9,9.49040221050382,9.604065,0.14804327
20,5,4,10,0.73144469410181,0.69197404,0.27280313
20,5,4,11,7.54675026983023,7.739518,0.2046163
20,5,4,12,2.8600062080659,2.7887943,0.24831097
20,5,4,13,1.00053521571681,1.2412026,0.29720402
20,5,4,14,9.5406877505593,9.423794,0.15246134
20,5,4,15,4.15607118513435,3.943913,0.2739951
20,5,4,16,4.55102417618036,4.3359156,0.26383272
20,5,4,17,9.71055655973032,9.635099,0.19295254
20,5,4,18,5.83987979684025,5.660569,0.1670322
20,5,4,19,9.6220462443307,9.5717325,0.16747127
20,5,4,20,7.6170240319334,7.230928,0.2068543
20,5,5,1,2.00214452575892,1.5973958,0.15102035
20,5,5,2,6.85218595666811,7.204647,0.22571476
20,5,5,3,9.1687577450648,9.501995,0.27649316
20,5,5,4,2.84399457275867,3.2906775,0.2852561
20,5,5,5,1.04650127934292,1.6057658,0.16510879
20,5,5,6,7.01057459227741,7.4038334,0.23129432
20,5,5,7,5.27959984261543,5.115397,0.2015956
20,5,5,8,8.07935200864449,7.5504675,0.2362752
20,5,5,9,9.565001251176,9.127626,0.22873446
20,5,5,10,1.10453018685803,1.5269524,0.17407906
20,5,5,11,2.73284949595109,3.174813,0.23850651
20,5,5,12,4.90513201802969,4.955209,0.24842623
20,5,5,13,3.18404018646106,3.17743,0.21655358
20,5,5,14,5.59172826586291,6.0035777,0.25224674
20,5,5,15,2.62593138730153,2.7102644,0.20699976
20,5,5,16,2.01875211205333,1.6801642,0.14207807
20,5,5,17,3.87525747064501,3.3923383,0.19981387
20,5,5,18,8.87869771569967,8.951263,0.2448796
20,5,5,19,5.5492255394347,5.3359327,0.26536033
20,5,5,20,8.42179385246709,8.318827,0.24696025
20,5,6,1,6.06268297648057,5.8345575,0.2448749
20,5,6,2,9.3764197290875,9.528013,0.22353248
20,5,6,3,2.64352067606524,2.2621117,0.23198058
20,5,6,4,3.80093919346109,3.4064243,0.25340587
20,5,6,5,8.07483389042318,8.3141365,0.2436268
20,5,6,6,9.78075725259259,9.8568945,0.21573308
20,5,6,7,9.57933716475964,9.390495,0.22099999
20,5,6,8,7.62731856433675,8.126172,0.26731008
20,5,6,9,5.09648534934968,5.147242,0.25685397
20,5,6,10,0.644767952617258,0.27208617,0.22481015
20,5,6,11,6.43572765169665,6.2599983,0.24764158
20,5,6,12,9.15908884257078,9.294366,0.23806024
20,5,6,13,0.952325807884336,0.6477805,0.20554745
20,5,6,14,2.95372802997008,2.819542,0.22395325
20,5,6,15,7.6993169891648,7.922409,0.23114118
20,5,6,16,2.55893525900319,2.5623906,0.2801717
20,5,6,17,5.17895726021379,5.150442,0.26915398
20,5,6,18,6.7784993047826,7.1398654,0.22740202
20,5,6,19,1.47227819310501,1.3271134,0.22185713
20,5,6,20,7.00526044936851,7.144015,0.22826652
20,5,7,1,9.88909297855571,9.7961,0.28228727
20,5,7,2,3.97745453286916,4.05076,0.3072749
20,5,7,3,1.15697778761387,1.1220227,0.26606914
20,5,7,4,0.697486787103117,0.6121532,0.2382517
20,5,7,5,2.43749390589073,2.3733025,0.22069609
20,5,7,6,7.92010425822809,7.9357414,0.25465256
20,5,7,7,3.40062352828681,3.6117578,0.23175475
20,5,7,8,9.72062500659376,9.289708,0.30104014
20,5,7,9,1.65855484548956,1.5008957,0.23562247
20,5,7,10,4.59103665780276,4.8026958,0.27737027
20,5,7,11,1.71748076798394,2.0492213,0.2316036
20,5,7,12,2.31477101799101,2.2193372,0.20613472
20,5,7,13,7.72811945760623,7.572995,0.29133135
20,5,7,14,0.963015416637063,0.560339,0.24096783
20,5,7,15,4.53447770094499,4.6526823,0.23182333
20,5,7,16,0.847007129341364,0.62113816,0.2462904
20,5,7,17,5.6066586705856,5.8682075,0.2762017
20,5,7,18,0.0870459992438555,0.41430283,0.30932108
20,5,7,19,9.85737090697512,9.734705,0.28697747
20,5,7,20,3.16584804095328,3.4971206,0.2523431
20,5,8,1,4.66295241378248,5.0831437,0.29208398
20,5,8,2,2.07823317032307,2.3246007,0.2733531
20,5,8,3,7.99657957628369,7.8505726,0.2473958
20,5,8,4,6.51871317764744,6.3578377,0.23546231
20,5,8,5,3.21509178960696,3.581716,0.28626615
20,5,8,6,7.18927504029125,7.382858,0.24530199
20,5,8,7,2.90873386897147,3.0909772,0.2882484
20,5,8,8,9.32269813260064,9.002536,0.30071628
20,5,8,9,7.69146954407915,7.8149023,0.24262664
20,5,8,10,6.44491136772558,6.308546,0.22830993
20,5,8,11,4.57044888520613,4.708843,0.2952957
20,5,8,12,0.893010105937719,0.56536776,0.2815089
20,5,8,13,4.32391373440623,4.441252,0.29015362
20,5,8,14,5.44962115585804,5.262543,0.24802704
20,5,8,15,1.38224346097559,1.5263852,0.2997374
20,5,8,16,9.27812252193689,8.666032,0.28093898
20,5,8,17,0.0130172143690288,0.07240915,0.29116997
20,5,8,18,2.64458863530308,2.7626262,0.2803227
20,5,8,19,2.76532246964052,2.8550146,0.27308854
20,5,8,20,5.21107041742653,4.889956,0.24274375
20,5,9,1,2.21601397264749,2.3237731,0.20768523
20,5,9,2,0.242339097894728,0.05961823,0.20814884
20,5,9,3,2.07119019469246,2.1929407,0.23228943
20,5,9,4,2.15733549557626,2.088699,0.2039092
20,5,9,5,4.43723587784916,4.5553007,0.23771404
20,5,9,6,1.34076150367036,0.9157571,0.20070845
20,5,9,7,3.90657789772376,3.9440894,0.2373296
20,5,9,8,3.69315771851689,3.38726,0.23695353
20,5,9,9,6.68692956678569,7.0775514,0.24237444
20,5,9,10,9.92109965998679,9.861056,0.29923892
20,5,9,11,1.17638953961432,0.77634066,0.19776936
20,5,9,12,0.0847116415388882,-0.28434294,0.24670947
20,5,9,13,8.83366814581677,8.705879,0.31824258
20,5,9,14,3.01054707961157,3.0737739,0.22911726
20,5,9,15,4.92743505863473,5.263942,0.25663933
20,5,9,16,5.00629938673228,4.9406757,0.23217875
20,5,9,17,4.02034473372623,3.7008092,0.249844
20,5,9,18,9.77082821307704,9.289306,0.26633254
20,5,9,19,3.58326010871679,3.2319965,0.26429975
20,5,9,20,4.91660544415936,4.976674,0.24939866
20,5,10,1,5.07478203158826,5.137859,0.13689274
20,5,10,2,3.06768506066874,2.8407266,0.12211148
20,5,10,3,4.26907666493207,4.4633327,0.17160027
20,5,10,4,6.93102080840617,7.162766,0.2107115
20,5,10,5,0.851359688676894,0.5851621,0.18341629
20,5,10,6,2.25436616456136,1.6926708,0.17462792
20,5,10,7,2.74530522990972,2.5331666,0.13430972
20,5,10,8,2.72305066231638,2.4604738,0.16294816
20,5,10,9,6.15829307818785,5.7772546,0.1879731
20,5,10,10,4.29671525489539,4.122573,0.18508415
20,5,10,11,6.51655666995794,6.563053,0.19634858
20,5,10,12,5.67737752571702,5.7196684,0.20486467
20,5,10,13,1.13508982118219,0.9614672,0.16725904
20,5,10,14,5.95925305271521,6.0449963,0.2035972
20,5,10,15,3.58049975009635,3.5732675,0.1290373
20,5,10,16,4.28809418343008,4.1939883,0.155121
20,5,10,17,0.519033221062273,0.40741137,0.21988173
20,5,10,18,2.64177667442709,2.3216116,0.16736576
20,5,10,19,3.98790730861947,3.8585415,0.1512096
20,5,10,20,8.36134143406525,8.579527,0.21796335
20,5,11,1,2.77249794220552,2.6144657,0.2903862
20,5,11,2,0.0051831291057169,-0.20930533,0.26348162
20,5,11,3,5.10608372977003,5.231495,0.29196593
20,5,11,4,0.140479083638638,-0.21756437,0.25022334
20,5,11,5,0.646897766273469,0.36669302,0.24048887
20,5,11,6,9.54849225468934,9.628591,0.26290146
20,5,11,7,0.864958912134171,0.5895268,0.24121358
20,5,11,8,2.89975009160116,3.1270137,0.23721717
20,5,11,9,8.80699172848836,8.892738,0.29509002
20,5,11,10,1.23216201318428,0.99922323,0.2612393
20,5,11,11,1.75112922675908,1.5926735,0.24498436
20,5,11,12,4.40750271780416,4.6078076,0.23179838
20,5,11,13,9.0718297357671,9.245374,0.26460657
20,5,11,14,8.51041866932064,8.219523,0.25711632
20,5,11,15,7.33987492742017,7.5848045,0.28146866
20,5,11,16,5.73685721494257,5.6035657,0.2877744
20,5,11,17,4.81765535892919,4.3249803,0.24929872
20,5,11,18,3.30610994482413,3.1904757,0.2281464
20,5,11,19,1.57660248922184,1.7003306,0.242049
20,5,11,20,4.8013405338861,4.9473753,0.24254084
20,5,12,1,0.693609158042818,0.92221236,0.1627669
20,5,12,2,8.17775198724121,8.339261,0.19372155
20,5,12,3,9.42621732363477,9.366505,0.21153948
20,5,12,4,2.69381876336411,2.462744,0.19752692
20,5,12,5,1.69348123250529,1.5576838,0.21243016
20,5,12,6,0.338956224732101,0.21566409,0.17745633
20,5,12,7,1.78785004187375,1.6652452,0.17689273
20,5,12,8,6.41665365546942,6.466534,0.18455295
20,5,12,9,0.228777434676886,0.32518533,0.15948988
20,5,12,10,0.0832482660189271,-0.22191304,0.1939384
20,5,12,11,3.92697197152302,3.6886177,0.1646173
20,5,12,12,8.13880559289828,8.058624,0.23967814
20,5,12,13,3.7624845537357,3.560821,0.16226944
20,5,12,14,3.80812183720991,3.366507,0.19443873
20,5,12,15,2.64918377622962,2.6054695,0.19545862
20,5,12,16,4.39334316411987,4.452389,0.11271594
20,5,12,17,4.57607151241973,4.594422,0.12631103
20,5,12,18,5.40707547217607,5.643623,0.16815962
20,5,12,19,6.65679829893634,6.9651437,0.2090254
20,5,12,20,1.12698937533423,1.1530623,0.20657331
20,5,13,1,7.10322446655482,7.113222,0.2712582
20,5,13,2,2.46137301670387,2.6163282,0.3032144
20,5,13,3,3.89634444611147,3.7620988,0.29364407
20,5,13,4,0.913836725521833,0.78939915,0.29051057
20,5,13,5,9.62064544670284,9.414948,0.3013532
20,5,13,6,0.109333300497383,-0.01306155,0.2899898
20,5,13,7,5.74295177590102,5.5073924,0.28434044
20,5,13,8,7.64397989492863,7.867621,0.27519774
20,5,13,9,8.73382309218869,8.57202,0.26936585
20,5,13,10,0.410633541177958,0.1803068,0.2912933
