names,cell_cycle_phase,cell_cycle_hrs
L14_355,G2M,0.723
L15_355,G1,0.079
L16_355,S-ph,0.407
L17_355,G1,0.188999999999999
L18_355,G2M,0.765
L19_355,G1,
L1_355,G1,
L20_355,G2M,0.682999999999999
L21_355,G2M,0.767
L22_355,S-ph,
L23_355,G2M,0.698
L24_355,S-ph,0.486
L2_355,G1,0.198999999999999
L3_355,G1,0.15
L4_355,S-ph,0.541
L5_355,S-ph,0.446
L6_355,G2M,0.719
L7_355,G1,0.183
L8_355,S-ph,0.519
L9_355,G1,0.226999999999999
M10_355,G1,0.142
M11_355,S-ph,0.595
M12_355,S-ph,0.397
M13_355,S-ph,0.655999999999999
M14_355,S-ph,0.617
M15_355,G2M,0.763
M16_355,G1,0.096
M17_355,G1,0.283
M18_355,G1,
M19_355,G2M,0.695
M1_355,G1,0.151
M20_355,S-ph,0.621
M21_355,G2M,0.677999999999999
M22_355,G1,0.171
M23_355,G2M,0.743
M24_355,G2M,0.703
M2_355,G1,0.237
M3_355,S-ph,0.52
M4_355,G1,0.061
M5_355,G1,
M6_355,S-ph,0.657999999999999
M7_355,G1,0.136
M8_355,S-ph,0.511
M9_355,G1,0.335
N10_355,G1,0.304
N11_355,G1,0.181
N12_355,G1,
N13_355,G1,0.278999999999999
N14_355,G1,
N15_355,G1,0.31
N16_355,G1,0.338999999999999
N17_355,G1,
N18_355,G1,0.208
N19_355,G1,
N1_355,G1,
N20_355,G1,0.186
N21_355,G1,0.302
N22_355,G1,
N23_355,G1,
N24_355,G1,0.193
N2_355,G1,
N3_355,G1,0.313
N4_355,G1,
N5_355,G1,
N6_355,G1,0.215
N7_355,G1,0.327
N8_355,G1,
N9_355,G1,
O10_355,S-ph,0.542999999999999
O11_355,S-ph,0.451
O12_355,S-ph,0.452
O13_355,S-ph,0.412
O14_355,S-ph,0.393999999999999
O15_355,S-ph,0.594
O16_355,S-ph,0.432
O17_355,S-ph,0.467999999999999
O18_355,S-ph,0.466
O19_355,S-ph,0.413
O1_355,S-ph,0.552
O20_355,S-ph,0.421
O21_355,S-ph,0.59
O22_355,S-ph,0.434
O23_355,S-ph,0.452999999999999
O24_355,S-ph,0.542
O2_355,S-ph,0.411
O3_355,S-ph,0.384
O4_355,S-ph,0.386
O5_355,S-ph,0.442999999999999
O6_355,S-ph,0.528
O7_355,S-ph,0.65
O8_355,S-ph,0.488
O9_355,S-ph,0.513
P10_355,G2M,0.56
P11_355,G2M,0.606
P12_355,G2M,0.591
P13_355,G2M,0.595
P14_355,G2M,0.633
P15_355,G2M,0.567
P16_355,G2M,0.545
P17_355,G2M,0.575
P18_355,G2M,0.578
P19_355,G2M,0.589
P1_355,G2M,0.571
P20_355,G2M,0.589
P21_355,G2M,0.577
P22_355,G2M,0.597
P2_355,G2M,0.653
P3_355,G2M,0.568
P4_355,G2M,0.553999999999999
P5_355,G2M,
P6_355,G2M,
P7_355,G2M,0.582
P8_355,G2M,0.532
P9_355,G2M,0.546
A10_356,G2M,0.986
A11_356,G1,0.018
A12_356,G2M,0.883
A13_356,G1,0.0
A14_356,S-ph,0.442
A15_356,G2M,0.821
A16_356,G2M,0.917999999999999
A17_356,G2M,0.919
A19_356,S-ph,0.296
A1_356,S-ph,0.257
A20_356,G2M,0.993
A21_356,S-ph,0.55
A23_356,S-ph,0.402999999999999
A24_356,G2M,0.863
A2_356,G1,0.006
A3_356,S-ph,0.389
A4_356,G1,0.025
A5_356,G1,0.081
A6_356,S-ph,0.423
A7_356,G2M,0.988
A8_356,G2M,0.944
A9_356,S-ph,
B10_356,S-ph,0.41
B11_356,G1,0.114
B12_356,G2M,0.969
B13_356,G1,0.109
B14_356,S-ph,0.395
B15_356,G2M,0.794
B16_356,G2M,0.977
B17_356,G2M,0.963
B18_356,S-ph,0.43
B19_356,G2M,0.831
B1_356,G1,0.042
B20_356,G1,0.0139999999999999
B21_356,S-ph,0.757
B22_356,G2M,0.97
B23_356,S-ph,0.377999999999999
B24_356,S-ph,0.477
B2_356,G2M,0.912999999999999
B3_356,S-ph,0.665
B4_356,S-ph,0.473
B5_356,S-ph,0.713
B6_356,G2M,0.987
B8_356,G1,
B9_356,G2M,0.95
C11_356,G2M,0.856
C12_356,G1,
C14_356,S-ph,0.614
C15_356,S-ph,0.469
C17_356,G1,0.04
C18_356,S-ph,0.628
C19_356,S-ph,0.441
C1_356,G2M,0.927
C21_356,G1,0.023
C22_356,G2M,0.807
C23_356,G2M,0.817
C24_356,S-ph,0.376
C2_356,S-ph,0.573
C3_356,S-ph,0.506
C5_356,G2M,0.938
C6_356,G1,0.125
C7_356,G2M,0.9
C8_356,S-ph,0.436
D10_356,S-ph,0.523
D11_356,S-ph,0.321
D12_356,G2M,0.958
D14_356,G2M,0.823
D15_356,G2M,0.910999999999999
D16_356,G2M,0.892
D17_356,G2M,0.88
D18_356,G1,0.095
D19_356,S-ph,0.616
D1_356,G2M,
D20_356,S-ph,0.662999999999999
D21_356,G1,0.063
D22_356,G2M,0.962
D23_356,G1,0.084
D24_356,G1,0.015
D2_356,S-ph,0.69
D3_356,G1,0.046
D4_356,G2M,0.981
D5_356,G1,0.239
D6_356,G2M,0.99
D7_356,G2M,0.835
D8_356,G2M,0.94
D9_356,G2M,0.800999999999999
E10_356,G1,0.201999999999999
E12_356,G2M,0.924
E13_356,G2M,0.856
E14_356,G2M,0.875999999999999
E15_356,S-ph,0.416
E16_356,G2M,0.979
E17_356,G2M,0.814
E18_356,S-ph,0.479
E19_356,S-ph,0.619
