"","CCNA2","CCNB1","BIRC5","TOP2A","PLK1","NDC80","CDCA8","MKI67","CDC6","CENPF","KRT17","RRM2","t","p"
"82",4.9125013,6.370836,5.1441646,4.7134633,4.064982,5.136179,3.1274097,5.383507,3.4338374,5.724915,5.2917795,5.06129,0.045,"G1"
"83",5.626141,6.4603457,5.2134337,6.4224396,5.3107243,5.292009,5.358985,5.7648444,1.7927811,6.3507996,3.744801,5.120708,0.904,"G2M"
"84",5.1597886,5.588244,4.835606,5.7115183,4.544765,5.428552,4.6122723,5.4846644,3.8270211,5.515999,4.3242736,5.3792596,0.885,"G2M"
"85",5.36224,6.249617,5.148254,6.061053,5.02871,5.266864,5.086749,5.599331,3.069711,5.695839,2.1956785,4.990647,0.841,"G2M"
"86",4.771206,4.9599643,5.0638404,5.1579347,2.6657312,4.9362283,3.7168684,4.8614407,4.3267303,4.2342105,2.2944493,5.426354,0.439,"S-ph"
"87",4.5883436,4.73215,4.28328,5.8382573,3.290402,4.490955,3.702311,5.393608,4.7969756,4.7454557,4.0995197,5.8021617,0.847,"G2M"
"88",4.7198925,6.395168,5.1779375,4.649094,4.3017178,4.3017178,4.001162,5.609988,4.3017178,5.595856,5.355706,5.1337423,0.033,"G1"
"89",4.917138,4.874289,4.837123,5.124716,3.9801567,4.5891504,4.4204135,5.370274,4.7334833,5.0662355,4.454297,5.817729,0.863,"G2M"
"90",4.9416795,4.5245595,5.042526,5.2793584,3.4914415,4.2631464,3.7714803,5.0356503,3.8191736,4.7950068,1.4311062,5.6685743,0.506,"S-ph"
"91",5.2900753,6.6849117,5.2393723,5.755862,5.1439424,5.578042,4.6558194,5.591847,3.0837011,5.946029,4.981191,5.23285,0.001,"G1"
"92",4.416071,4.213379,3.6166482,3.6475568,0.7738739,3.482471,1.204862,4.327591,4.6424384,4.416071,5.40694,4.7077813,0.231999999999999,"G1"
"94",4.8255963,5.054467,4.1404386,5.2645597,3.916718,4.6773577,3.8458893,4.8704977,3.8458893,4.6773577,3.3886247,5.344205,0.991,"G2M"
"95",3.625936,4.8292027,4.910404,4.8669314,3.573347,4.8520103,3.6758974,4.931452,3.8123503,4.836863,5.259879,5.0795946,0.406,"S-ph"
"96",4.6467834,5.1761093,4.5399866,5.496636,4.635465,5.1003947,4.67999,5.2277827,3.4501598,4.970791,2.7882597,4.9034553,0.864,"G2M"
"97",4.207866,5.0281415,4.5309186,4.8358874,3.1984658,3.8929992,3.9764915,4.341524,4.471685,4.756506,2.6257849,4.9250607,0.660999999999999,"S-ph"
"99",4.5182176,4.828934,5.244402,5.5417356,4.739177,5.109825,4.0852976,5.4889245,4.5689654,4.8478312,3.5029247,6.1600447,0.462,"S-ph"
"100",4.9870644,4.882462,4.7208986,5.7141895,4.0953145,5.0602674,3.4326012,5.7610726,3.5860868,5.5619984,2.5636275,5.594346,0.858,"G2M"
"101",5.236592,6.0844755,5.059381,6.058045,5.179149,5.1239014,4.8133287,5.408671,2.728727,5.802608,3.1739376,4.5587945,0.795999999999999,"G2M"
"104",4.9104767,6.1932797,5.024557,4.563082,4.8296094,4.8389244,4.4327807,4.5507903,3.8433642,5.251001,0.77534455,4.3455844,0.043,"G1"
"105",4.9047494,4.6127763,4.6526585,5.385839,2.7746403,3.7696605,4.0193505,5.266279,4.3853235,4.763566,5.300949,6.203246,0.408,"S-ph"
"106",4.5660396,6.3772173,5.1802673,5.361651,4.7466264,5.092376,4.71058,5.108942,3.6652267,6.049246,1.3134356,4.2723813,0.017,"G1"
"107",4.7425213,4.7799387,4.6632047,5.4313006,3.4537187,4.43207,3.9794493,5.3516226,4.43207,4.7799387,4.378663,5.372145,0.758,"S-ph"
"108",4.3911786,5.6025777,4.8640914,6.1725626,4.487195,5.5082364,4.08734,5.4040585,3.6054876,5.8557386,2.7501705,6.0187597,0.958,"G2M"
"109",4.8716803,5.3142347,4.778747,5.6792455,3.9425955,4.5285687,3.451319,5.2444825,4.058221,5.0949054,3.9826412,5.0072775,0.949,"G2M"
"110",5.532333,6.007755,5.0149007,6.0146112,4.8431344,5.238573,4.9477067,5.7413044,3.6573868,5.5433393,0,5.363985,0.937,"G2M"
"111",4.543541,4.681915,4.518496,5.468255,3.5132782,4.531097,3.5473416,5.4534297,3.9318244,4.6710873,4.2756953,5.9280405,0.716,"S-ph"
"112",4.618148,6.2196574,4.796492,4.4998555,3.948538,4.5154305,1.8947755,5.2185125,3.948538,4.937712,0,4.5754113,0.087,"G1"
"113",4.410057,5.1464095,4.5057845,5.5061445,3.5677905,5.0801196,4.410057,5.2010145,3.7774253,5.216083,5.8080955,5.6942997,0.972,"G2M"
"114",4.9724936,5.8371773,4.877876,5.933758,4.797549,5.0771613,4.124399,5.049685,2.9112732,5.1469426,4.9419384,4.6427813,0.907999999999999,"G2M"
"115",5.1019917,4.6378064,4.704994,5.632042,3.1153145,5.045833,4.098277,5.4017324,5.0224557,5.123601,2.731789,6.0803804,0.392999999999999,"S-ph"
"116",5.0757933,5.935331,4.7501,5.8901963,5.0185933,5.2535887,4.942161,5.3425865,2.3990974,5.5355844,3.6591356,5.5615716,0.880999999999999,"G2M"
"117",3.6260188,5.5838027,5.0523696,4.38477,2.9591453,2.9591453,2.9591453,4.5262074,4.4220486,4.0225706,4.882933,4.0225706,0.088,"G1"
"118",4.959218,6.354158,5.0549045,4.706721,4.4641047,5.0649924,4.584672,5.09466,2.7283237,5.471698,2.3550007,5.2479343,0.066,"G1"
"119",4.838707,5.5917196,4.981238,5.6321173,4.8015513,5.1389203,4.7939515,5.196653,3.4758866,5.5567613,1.325509,4.3617578,0.845,"G2M"
"120",3.7028828,5.924343,5.17169,3.9041378,4.145863,3.948704,2.887926,5.0633917,3.6746202,5.639563,2.8229034,3.8810873,0.098,"G1"
"121",5.2269945,5.495872,5.040419,5.8654594,4.6057167,4.7527575,4.512394,5.1890516,2.763687,4.903227,1.6018467,4.4904175,0.890999999999999,"G2M"
"122",3.72322,5.788198,5.2794123,1.473952,3.6674817,3.5775769,0,4.832775,3.6957393,4.3183155,1.8886989,4.532777,0.18,"G1"
"123",4.236232,6.7096004,5.4471965,5.21068,4.8666596,4.889215,4.8666596,5.0533915,4.1229243,5.5150504,4.706168,5.2958875,0.0559999999999999,"G1"
"124",4.918224,4.452598,4.295993,5.1198206,3.007295,4.747227,4.4258885,5.020366,4.072402,4.6969066,5.172505,5.281781,0.52,"S-ph"
"125",4.717778,5.5077963,5.293658,5.9876094,4.417261,4.8706517,3.9091654,5.1359158,2.6535716,5.3702464,2.6535716,5.0466123,0.862,"G2M"
"126",4.9130673,5.323764,4.8161826,5.759463,3.9161444,4.8738327,4.264726,5.430167,3.7082891,5.0760226,1.4208987,5.7156043,0.669,"S-ph"
"127",5.417417,6.2309065,5.0028167,6.1951685,4.9500732,5.5040584,5.052917,5.8657246,3.4527102,5.310034,5.0197973,5.7907224,0.825,"G2M"
