"","CCNA2","CCNB1","BIRC5","TOP2A","PLK1","NDC80","CDCA8","MKI67","CDC6","CENPF","KRT17","RRM2","t","p"
"233",4.6018763,5.379174,4.671575,5.2313023,4.0523124,4.671575,4.034285,5.0176926,0.7069635,5.0176926,3.2043695,4.823011,0.785,"G2M"
"234",5.7351823,6.612802,5.7857947,5.882918,5.326134,5.681871,5.156171,5.795617,3.3245156,5.7988696,4.093147,5.7212415,0.0279999999999999,"G1"
"236",4.9603086,4.92043,4.4117537,5.555378,3.602457,4.723183,4.6297507,5.042816,4.3703094,4.861785,5.1123385,5.4364605,0.777,"G2M"
"237",4.0454164,6.1270857,4.956808,3.5914001,4.771375,4.743834,3.7910776,5.1785436,1.4369192,5.103478,4.248007,4.248007,0.092,"G1"
"238",5.109959,5.7179003,4.9639325,5.3333254,4.877556,5.2373543,4.4012756,5.6111736,3.630284,5.5532107,3.994678,5.280479,0.827,"G2M"
"239",3.7011135,4.656432,4.3415346,4.0020394,2.3492937,3.140513,3.484125,4.493824,4.5784297,4.401393,1.9904433,4.5285296,0.422,"S-ph"
"240",3.5970817,5.657032,4.903614,3.736522,4.111901,3.128556,1.865667,4.237767,3.2414627,4.4814634,2.0573626,3.4780474,0.204,"G1"
"241",4.277248,4.6005793,4.277248,4.853497,2.76606,3.8943713,3.597886,5.1050644,4.4782867,4.465193,3.821828,5.4682393,0.453999999999999,"S-ph"
"242",4.6467943,4.8569307,4.9320755,5.2855473,4.01626,4.5302095,4.1377764,4.9423637,4.1604033,5.0582147,4.1604033,5.589978,0.57,"S-ph"
"243",4.7977138,5.572646,4.8667526,5.521986,4.5333548,4.7796826,4.1729646,5.445518,3.1674466,5.1163545,3.8623435,5.56022,0.537,"S-ph"
"244",4.146467,4.9093246,4.523367,5.2344766,3.399029,4.7722664,3.0565693,5.377895,4.5389457,4.722062,2.5316317,4.9813786,0.518,"S-ph"
"245",4.621916,5.1918964,4.6046968,5.035452,3.6231735,4.065403,3.2973237,4.6554894,4.0039887,4.9283032,2.0724227,5.0903645,0.723,"G2M"
"246",4.9394083,6.3355265,5.5181665,5.069863,4.930661,4.8765073,4.497682,5.1073704,3.8550124,5.786348,3.32375,4.5375166,0.079,"G1"
"247",4.096179,4.2960596,4.275724,5.097137,3.2627711,4.4960833,2.2891479,4.852709,4.4625664,4.445377,4.2549663,5.457392,0.407,"S-ph"
"248",5.153441,6.1398177,5.0330405,4.6748576,3.273356,4.511451,3.0810678,4.8610015,4.9629,5.0985823,2.0703018,4.6420197,0.188999999999999,"G1"
"249",5.480818,6.1151147,5.4944916,6.1810355,5.4338408,5.16507,5.086551,5.8297887,2.029395,5.452897,2.2836719,5.645463,0.765,"G2M"
"252",4.4990277,5.676248,5.1865997,5.6095457,4.03336,4.7543263,3.9361126,5.00773,3.8508747,5.1688957,2.4390645,5.8681097,0.682999999999999,"G2M"
"253",4.0690536,5.020913,4.823237,5.4333525,3.7322705,4.1546397,3.9147735,5.3475676,4.450668,4.789033,3.9556317,4.707508,0.767,"G2M"
"255",4.3349886,6.75945,5.891316,6.633137,5.4964952,5.68503,5.384396,6.0303116,4.0662236,6.523805,6.7141023,4.4851556,0.698,"G2M"
"256",4.187559,5.1894507,4.9728947,4.2780337,3.3478508,3.431928,3.615581,4.24282,4.8039575,4.2951865,4.1489453,4.9984713,0.486,"S-ph"
"257",3.9660962,5.5319715,5.2974563,3.617509,4.5989347,3.7229648,2.6715455,4.735112,4.500458,5.0651574,1.9759364,4.453371,0.198999999999999,"G1"
"258",4.614789,6.3349996,5.298598,2.710074,4.774951,4.0754223,4.1047754,5.0455794,3.860217,5.17264,1.8344029,4.413424,0.15,"G1"
"259",4.729412,4.36669,4.9329333,4.940908,4.338076,4.71955,3.974535,4.8230257,4.61518,5.173695,1.4663832,5.081464,0.541,"S-ph"
"260",4.5873523,4.9326606,4.8445344,4.7161636,3.4815793,4.173192,3.7684944,4.4810863,4.6495337,3.9744017,1.0298443,5.013646,0.446,"S-ph"
"261",5.455331,6.2861743,4.943306,6.079236,5.1165175,5.434885,5.039809,5.506613,3.4737167,5.837515,3.6107078,5.045923,0.719,"G2M"
"262",2.9836903,5.917608,4.8491673,3.9625576,4.501063,4.513991,1.5079837,5.0559115,3.4495423,4.9114914,0.77589595,4.10758,0.183,"G1"
"263",4.89996,5.0128193,4.7300787,5.362549,4.0564575,4.708054,3.816132,5.4823804,4.012792,5.106777,0.8038453,5.85866,0.519,"S-ph"
"264",4.111764,5.6009293,4.6880813,4.1659455,3.2106462,3.3785257,3.2106462,4.200502,4.07394,4.944291,4.111764,5.4024725,0.226999999999999,"G1"
"265",5.2428885,6.2731323,5.309441,5.123419,5.0272937,5.2239423,4.340682,4.9548826,3.9718926,5.848328,4.9209366,5.13742,0.142,"G1"
"266",4.209283,4.831951,4.541501,4.4970393,4.0800295,5.1196733,3.2380133,5.190299,4.43853,4.7559524,3.2380133,4.939764,0.595,"S-ph"
"267",3.0657291,3.341688,4.4281254,3.758266,3.440041,2.1736732,2.6833065,4.66506,4.9364977,4.2079616,3.5851097,4.752815,0.397,"S-ph"
"268",4.2418466,4.521654,4.6425066,5.0857763,3.0487127,3.7461576,4.095725,5.1286874,4.095725,4.719176,3.4936173,5.3076825,0.655999999999999,"S-ph"
"269",3.9073744,5.2242813,4.6053104,5.149976,3.8461494,4.829409,3.9073744,4.512475,5.1585097,5.012367,2.551207,5.012367,0.617,"S-ph"
"270",4.0466557,5.7950478,5.1121674,6.064522,4.9481683,5.0296226,4.619595,5.2340746,4.350737,4.859486,5.3764644,5.544083,0.763,"G2M"
"271",4.3681955,6.8342557,5.3691096,5.540224,5.206193,5.817036,5.218322,4.409639,2.03826,5.389634,3.9333794,4.310123,0.096,"G1"
"272",4.1767287,5.773812,4.969857,3.369592,3.4988136,4.5770645,1.6113409,4.7645316,4.2743707,4.7758636,0.8486575,4.197035,0.283,"G1"
"274",5.1504893,5.985351,5.0506825,5.697592,5.291971,4.84129,4.530085,5.712142,2.1572359,5.3609953,2.3825157,4.620119,0.695,"G2M"
"275",4.945006,6.2692986,5.197781,4.938135,5.0612364,4.6619687,4.643626,5.0912614,3.396393,5.3594704,4.6059,3.7462182,0.151,"G1"
"276",3.7323508,4.593758,4.746463,4.349726,1.9624273,3.385882,3.2766068,4.2236514,4.878908,3.8900476,5.0230618,4.924377,0.621,"S-ph"
"277",5.3330812,5.179735,4.6139646,5.149694,4.0004287,4.741025,3.810188,4.8619123,3.6322856,5.0126286,2.6113071,5.2089,0.677999999999999,"G2M"
"278",5.3879356,6.504549,5.106304,4.7305307,5.26217,4.9287972,4.869523,5.1533704,3.945636,5.554986,4.8385143,4.1990604,0.171,"G1"
"279",4.2024097,5.247422,4.514203,5.3728395,4.243759,5.0750113,4.534599,5.398696,3.1602373,5.115348,4.216384,5.44443,0.743,"G2M"
"280",4.3504267,5.3171473,5.0838714,5.420205,4.544405,4.4193525,4.3140965,5.460197,3.5044727,4.9690003,5.581856,4.916386,0.703,"G2M"
"281",2.6692579,5.9431963,4.5965014,3.026619,3.5869207,1.818904,2.8638175,3.64254,3.903021,3.4326177,0.7095222,3.4326177,0.237,"G1"
"282",4.5131736,4.5605173,4.5418477,5.0369825,3.4362516,4.92787,3.2489686,5.103626,4.50343,4.60572,3.4073734,5.8563933,0.52,"S-ph"
"283",5.030388,6.3590145,5.201821,5.2867303,4.6512175,5.226139,3.5546265,5.1718364,2.6679978,5.7576632,3.3574631,4.709268,0.061,"G1"
"285",4.7525687,5.161506,4.541047,4.886213,4.3322434,4.009638,4.0680137,4.7991295,4.877838,4.388672,2.3925786,5.3407564,0.657999999999999,"S-ph"
"286",4.5492253,5.6101017,4.7241354,4.067509,2.5411997,3.1495948,3.6149056,4.980804,2.1332433,5.318443,3.0540137,5.091306,0.136,"G1"
"287",4.610499,5.1421914,4.635255,4.911274,4.2346296,4.138943,3.6903226,4.94771,4.683,4.354856,3.9638002,5.1273537,0.511,"S-ph"
"288",3.9556823,5.465809,4.868023,3.4195783,3.4195783,4.174989,3.6230881,4.3027954,4.4850836,4.868023,4.813541,4.517868,0.335,"G1"
"289",4.5112386,5.472652,5.087977,4.4547257,4.0257277,3.663935,3.2584648,4.7795033,4.382405,3.6892529,2.3029299,4.5647273,0.304,"G1"
"290",5.1398277,6.8182654,5.1511254,4.313378,5.3854055,5.416038,4.829221,5.330605,3.5809298,5.666364,0,4.829221,0.181,"G1"
"292",4.84531,6.2857113,4.9241166,4.37182,4.695195,4.7325974,4.5298014,5.369302,4.029852,5.2831545,4.908844,4.384899,0.278999999999999,"G1"
"294",1.6772518,4.6371,4.8874326,2.7867324,2.8516088,2.9699545,0,4.513929,4.2259264,4.0528417,3.258761,3.9944816,0.31,"G1"
"295",0,4.5635448,4.360073,2.2854428,2.3918583,2.3918583,0,3.2301168,4.0859594,1.4612312,2.2854428,3.8577294,0.338999999999999,"G1"
"297",5.507592,6.285756,5.4151363,5.307277,5.4877725,5.536604,4.823367,5.4151363,3.7115722,5.574022,1.2294294,5.2454634,0.208,"G1"
"300",3.752953,6.200163,5.1390996,3.7053347,4.2257853,4.4224734,4.309157,4.9474425,2.700171,5.3048034,4.9888253,4.335471,0.186,"G1"
"301",3.5243382,5.832733,5.1099167,4.0068016,4.0395412,3.9379194,2.1184301,4.0555177,3.006174,4.928802,4.4117494,4.496823,0.302,"G1"
"304",4.4907823,6.339503,4.803381,4.1403494,4.1403494,4.394554,3.3420002,5.0293546,3.8188148,4.8108106,1.0361605,4.955292,0.193,"G1"
"306",3.6407385,0.64467376,3.3052588,3.6642113,0.64467376,0,2.6796837,3.3379366,4.232691,2.9015281,2.8505085,4.729733,0.313,"G1"
"309",3.56337,6.333676,5.1498723,3.7174377,4.073963,4.6708093,2.0613258,5.054574,1.774514,5.4043117,5.4599957,4.5945973,0.215,"G1"
"310",4.8361044,6.306369,5.261921,2.650106,4.2013693,4.6127696,3.0317414,4.6127696,2.7246997,4.5335536,2.3856988,4.1157184,0.327,"G1"
"313",4.8656745,4.732128,4.9409056,5.161166,4.3443046,4.5569005,3.6509776,4.7672234,4.357379,4.732128,3.6769624,4.8176603,0.542999999999999,"S-ph"
"314",4.295249,4.702615,4.549975,4.3516498,2.8916845,4.080315,2.7203982,4.405039,4.369765,4.2558002,3.0378773,5.2302604,0.451,"S-ph"
"315",4.6331086,4.716877,4.441034,5.4277163,2.563439,4.8735733,3.9302213,5.240119,4.9183564,4.8425636,6.2579484,5.800487,0.452,"S-ph"
"316",4.432232,5.655919,5.165665,4.8389616,3.7662835,4.2616296,2.9689198,4.5779266,4.8698096,4.384036,2.325856,5.0626106,0.412,"S-ph"
"317",4.128972,4.3767023,4.565038,4.339445,3.3379662,3.6339595,2.8616915,4.097239,4.128972,3.8620567,4.688381,4.159729,0.393999999999999,"S-ph"
"318",4.790724,5.1069098,4.5696545,5.411014,3.9652796,4.4376025,3.7326825,4.483585,4.153854,4.243459,5.6043816,5.487973,0.594,"S-ph"
"319",4.3415513,5.1599536,4.384796,4.4126205,3.7040372,3.8822463,4.249012,5.0355554,4.6222725,4.7954974,0,5.5569706,0.432,"S-ph"
"320",4.316471,3.8518982,4.3035746,5.0408916,2.5273743,4.4256153,2.6700494,4.730266,4.164542,4.0707846,0.67296934,5.0654263,0.467999999999999,"S-ph"
"321",4.495923,4.306609,4.6550384,4.2640314,2.9732225,3.8583496,3.4633808,4.897663,5.020588,4.1242046,2.6672778,5.455177,0.466,"S-ph"
"322",3.9860692,5.788582,4.6153574,4.373498,3.5271473,3.7045588,3.5271473,4.778726,3.9860692,4.6610026,2.9406855,4.7627335,0.413,"S-ph"
"323",4.801755,4.817753,4.681973,5.1909103,3.5927486,4.3760033,3.3831468,5.056613,3.6453662,4.447446,3.1176348,5.2896824,0.552,"S-ph"
"324",4.448183,5.0480356,4.964716,4.7662835,3.1454165,4.027649,3.5745282,5.151038,4.7355413,3.9954526,4.1469717,4.508732,0.421,"S-ph"
"325",5.1354346,6.5257325,5.2266273,6.145843,5.3472276,5.4589086,5.417417,5.8028455,2.9003303,5.8171496,5.1069503,5.3426723,0.59,"S-ph"
"326",3.6110702,4.923205,4.963736,4.1953754,3.5311458,4.057871,3.685077,4.774846,4.5417686,4.9570937,5.3668694,4.571605,0.434,"S-ph"
"327",5.0428476,4.9406896,4.2869983,4.9652076,3.7532616,4.989139,4.1508822,5.2327795,4.9652076,5.020182,1.1982899,5.354766,0.452999999999999,"S-ph"
"328",4.722947,6.1242657,5.028076,5.40765,4.698873,5.341543,5.079334,5.4430003,4.386859,5.1012983,5.7859335,4.863273,0.542,"S-ph"
"329",4.1482205,3.7336411,4.6354847,4.8419557,3.113074,4.319363,2.7059512,4.6961517,4.2604628,4.645855,3.2470195,5.29184,0.411,"S-ph"
"330",4.1908474,4.3319287,5.0118384,4.683331,3.1366527,4.318683,3.738852,4.5120573,4.026541,4.555075,1.0994198,5.1659904,0.384,"S-ph"
"331",4.4454894,5.6236243,5.0619617,4.887544,3.9626775,3.6879222,4.0210032,4.561968,4.4330587,4.8954525,3.2685218,5.3744264,0.386,"S-ph"
"332",4.2978454,5.1934347,4.35767,4.0146856,2.8254411,3.255633,3.298407,4.2665353,4.505825,4.4675465,2.8254411,4.4544544,0.442999999999999,"S-ph"
"333",4.1042533,4.9898276,4.789115,5.915974,1.9692439,4.6808753,2.2214122,4.9828086,4.4695063,4.939628,5.425212,5.8047395,0.528,"S-ph"
"334",4.4818006,5.357536,4.610473,5.535248,4.4397326,4.8364525,4.197882,5.7690387,2.371216,5.004508,3.8266969,4.8555326,0.65,"S-ph"
"335",3.7520065,3.9552355,4.3813467,5.673937,3.8474593,4.3122945,3.394659,5.5697713,4.62839,4.4706492,5.744653,5.8390512,0.488,"S-ph"
"336",5.11765,6.053331,5.4204893,6.1000705,5.0612025,5.1882753,4.5285563,5.8467855,3.0615697,5.741419,6.6911674,5.563,0.513,"S-ph"
"337",5.3889785,6.070811,5.185832,5.557743,5.2021794,4.7180843,5.0817027,5.4023404,2.978378,5.546315,3.2782438,4.216098,0.56,"G2M"
"338",5.393241,5.9965453,4.94742,6.014683,5.1426277,4.9795594,5.052724,5.393241,2.7547412,5.816549,3.7469475,4.0609303,0.606,"G2M"
"339",4.898583,5.670389,4.7670927,5.670389,4.820301,5.1775174,4.7191176,5.628392,3.5276957,5.3484764,5.0388603,3.8673258,0.591,"G2M"
"340",4.9940434,5.3084016,4.51989,5.6960745,4.363155,4.2314415,4.4374547,5.2717733,3.4428241,5.057645,3.9485915,5.2529435,0.595,"G2M"
"341",5.124654,5.464236,4.4970374,5.653161,4.568091,4.7388177,4.747044,5.4761615,3.2768528,5.4066205,4.247402,5.1792946,0.633,"G2M"
"342",5.0955024,6.5621586,5.322644,5.9486246,5.0955024,4.9012575,5.285492,5.598618,2.7692947,5.6892676,5.4678707,4.6599584,0.567,"G2M"
"343",5.4078035,6.5500793,5.2431846,5.987614,5.248434,5.3288774,5.09603,5.5834036,3.3635693,5.648643,2.481369,4.840358,0.545,"G2M"
"344",5.591894,6.368925,5.242934,6.0675173,5.3283305,5.228758,5.2335057,5.4612556,2.5290883,5.6925683,3.381377,4.823593,0.575,"G2M"
"345",5.438033,5.735561,5.005084,5.838784,4.9186816,5.244808,5.070614,5.3776803,2.816304,5.5132246,3.289052,4.0646987,0.578,"G2M"
"346",4.6012506,4.700378,4.2708597,5.0996475,3.6999068,3.9077222,3.9683917,4.7282963,4.327242,4.097096,4.912202,5.118461,0.589,"G2M"
"347",4.706319,5.295713,4.706319,5.061728,4.187016,4.7277865,3.9706867,5.1397214,4.2460303,5.2120695,2.1044874,5.158305,0.571,"G2M"
"348",5.4970026,6.2357335,5.742965,6.324694,5.2858768,5.349415,4.86367,5.6600127,3.987338,5.5939507,4.280383,5.5188923,0.589,"G2M"
"349",5.234806,6.1048174,5.4139,6.1261096,5.094676,4.859563,4.998904,5.6737313,3.2740555,5.6555014,2.1847498,5.3155165,0.577,"G2M"
"350",4.7157707,6.3145723,5.1296077,5.842198,5.2909555,5.1951876,5.0223927,5.498552,1.3513918,5.577378,2.4420798,4.950723,0.597,"G2M"
"351",4.947718,5.5033183,4.695537,5.1707926,3.994108,4.6780005,3.4780228,5.297511,3.4780228,4.9272466,3.5069675,5.479792,0.653,"G2M"
"352",4.52746,5.0925226,4.219627,4.8808875,3.3598144,4.1576676,2.5845695,4.65964,4.0639205,4.5790963,1.7754662,5.4229193,0.568,"G2M"
"353",4.666884,5.208434,4.8443894,5.6044974,3.792922,4.564721,3.8384173,4.9074183,4.294695,5.0089784,2.7383833,5.1739416,0.553999999999999,"G2M"
"356",4.9995847,5.916181,5.153808,6.2671022,5.3607526,5.9447603,5.3505964,5.721567,3.4716933,5.739024,4.0605226,5.0490894,0.582,"G2M"
"357",4.6905866,5.4550214,5.3741927,6.1345196,3.8489742,5.554915,4.409215,5.4130445,4.7930627,5.312929,4.6905866,6.0270824,0.532,"G2M"
"358",3.6387446,5.205768,4.675236,5.3359346,4.2233853,5.098639,3.7363214,4.958305,4.736916,4.369289,5.408356,5.595016,0.546,"G2M"
"359",4.441075,5.2442484,4.764994,5.360915,4.3167744,5.1546845,4.00928,5.476763,3.4261808,5.1012273,2.992603,5.0271654,0.986,"G2M"
"360",4.96,6.602732,5.6779737,4.7401953,5.4129066,5.0096684,4.801705,5.705532,4.094301,5.8746276,4.094301,4.22195,0.018,"G1"
"361",4.4864535,5.5437593,4.7869678,4.851401,4.1844454,4.5389805,4.108702,4.7109394,3.60877,4.572526,2.4994092,5.1694245,0.883,"G2M"
"362",5.1435356,6.7815256,5.5487037,6.180329,5.2688847,5.1823416,5.187088,6.1075935,2.1548142,5.9789486,5.246826,3.8080614,0,"G1"
"363",4.509814,4.050561,4.260138,4.619326,2.4441528,4.4557734,3.5942416,4.6380105,4.0337667,4.7007856,2.1577303,5.5796394,0.442,"S-ph"
"364",5.432902,6.3613334,5.325856,6.3442154,5.6897373,5.809157,5.129637,5.78199,3.223716,5.633843,3.223716,4.937879,0.821,"G2M"
"365",5.1604395,6.235454,5.427352,6.120024,4.8081427,5.2465973,4.7756248,5.689497,2.0863008,5.6008644,2.4150784,5.182685,0.917999999999999,"G2M"
"366",5.8465967,6.302295,5.5511007,6.314695,5.143167,5.564237,5.182163,5.7892222,3.0648322,5.675288,2.6016173,5.439295,0.919,"G2M"
"367",4.567917,4.3495855,4.6855373,4.7470174,2.4986718,4.371525,4.219477,4.8729134,4.6450996,4.244427,1.489706,5.147091,0.296,"S-ph"
"368",3.71463,3.5334988,3.8990245,3.4883685,0,2.8253145,3.4166079,3.914217,5.0491176,3.4166079,4.3379908,4.493095,0.257,"S-ph"
"369",5.0819993,6.564019,5.381202,6.2533903,5.13775,5.439678,4.910417,5.6111946,3.7865217,5.769639,4.1239944,4.3363724,0.993,"G2M"
"370",5.10321,5.6705804,4.9740005,5.823256,4.641665,5.0724387,4.004631,5.3908877,4.4161215,4.5923953,4.9530945,5.730598,0.55,"S-ph"
"371",4.82155,4.157744,4.313676,4.806963,2.9896204,4.994034,4.0224276,4.5389533,4.612984,4.372095,1.3074883,5.4153924,0.402999999999999,"S-ph"
"372",5.0164075,6.6343446,5.313508,5.943489,5.596275,5.427882,4.6505284,5.9415317,3.901263,5.6962686,2.2973075,4.5993633,0.863,"G2M"
"373",5.083861,6.630001,5.282534,4.578742,5.5217667,4.9939337,4.92915,5.4348383,2.9304519,5.734809,2.7000463,4.895113,0.006,"G1"
"374",4.801883,4.815564,3.852608,5.1379766,3.6566427,4.801883,3.9046192,5.1813164,4.0750656,4.918753,4.960753,5.6204653,0.389,"S-ph"
"375",5.257162,6.5421376,5.521127,5.055913,5.0995336,4.9554944,4.521457,5.4549875,4.532268,5.8995633,2.3022835,4.4304857,0.025,"G1"
"376",4.0998645,5.845767,4.933805,4.4448543,4.072926,4.164198,2.5670073,4.526165,4.576917,4.526165,4.0452414,4.8620243,0.081,"G1"
"377",4.1639085,5.5998607,5.1762342,5.4079123,4.1125555,4.259322,3.5024853,5.2235994,4.6651325,4.8150406,5.100694,6.136652,0.423,"S-ph"
"378",4.771071,5.2256455,4.6992126,5.0789647,4.0077157,4.7429442,3.6545737,5.3457623,4.17197,4.8250575,2.0212834,5.171388,0.988,"G2M"
"379",4.55664,5.2293386,4.262441,5.716316,2.397675,4.8639917,3.5632427,4.8639917,3.5632427,5.089998,4.6148806,4.783674,0.944,"G2M"
"381",4.3340306,4.075593,4.2385135,4.8901887,2.3284147,4.799104,3.5760252,5.012928,4.287412,4.610783,3.1844563,5.7554145,0.41,"S-ph"
"382",3.9176707,5.9164414,4.460701,4.4167743,3.8408213,3.4847915,2.7045822,4.394066,4.322671,4.803064,4.055641,5.153443,0.114,"G1"
"383",4.666469,4.507761,4.394035,5.364076,3.154001,5.184513,3.7596555,5.139819,4.209363,4.811372,4.8348975,5.050221,0.969,"G2M"
"384",5.2542334,6.062862,5.381657,2.338212,4.792764,5.1691775,4.711975,4.634237,3.4054673,4.2285757,2.8704402,4.818306,0.109,"G1"
"385",4.4371467,5.1605167,5.037891,5.832824,3.791292,4.473092,2.8014889,4.8263373,5.6328044,5.2039466,1.7300161,5.389597,0.395,"S-ph"
"386",5.666735,6.4891605,5.2811866,6.2052097,5.2703133,5.219866,4.6953044,5.7063885,3.1940632,5.737702,4.479277,3.8664947,0.794,"G2M"
"387",4.440392,5.122741,4.592857,4.78865,3.7965536,4.469043,3.9015138,5.10296,3.9015138,4.8288655,0.5997421,5.225053,0.977,"G2M"
"388",4.6313043,5.3510213,5.02436,5.9243083,4.1056657,5.0722528,1.3343816,5.5325522,4.3130965,5.1400476,5.1616616,5.491126,0.963,"G2M"
"389",5.075309,4.3229923,4.7464037,5.1430354,0,4.1932793,3.8254244,5.0162683,4.7103577,4.5187826,4.831214,5.094239,0.43,"S-ph"
"390",5.4049444,6.1051064,5.152791,6.1179338,4.986788,5.430614,5.014612,5.3709416,3.0755906,5.9919715,3.3419683,4.1163507,0.831,"G2M"
"391",3.7256925,6.0467286,5.115125,5.3242807,3.8641555,4.06437,3.2097027,5.449123,2.4480014,5.0439153,3.7256925,4.5560474,0.042,"G1"
"392",5.3674917,6.4416313,5.2002087,4.987725,5.186103,5.302211,5.3230724,5.23688,2.8381424,5.1276016,3.0189655,5.0105596,0.0139999999999999,"G1"
"393",5.7415395,6.7941217,5.3838143,6.5606236,5.6789913,5.7702274,5.330387,6.100402,2.9901927,6.2018037,2.9111736,5.411183,0.757,"S-ph"
"394",4.931993,5.2949753,5.1109295,5.902547,3.7742438,5.6757493,4.232978,5.0254583,3.9101002,5.007451,4.219751,5.153693,0.97,"G2M"
"395",4.5658646,4.2911725,4.485888,4.765517,2.1270354,4.0651245,3.4196863,4.8700256,4.5658646,4.398955,3.7291756,5.3591185,0.377999999999999,"S-ph"
"396",4.8871193,4.6950235,4.5398746,5.4135313,3.8746743,4.702559,3.8573456,4.999193,5.1049953,4.893342,4.874557,5.888764,0.477,"S-ph"
"397",5.582188,6.7073126,5.1534305,6.193566,5.159296,5.411283,4.5501456,5.5783496,3.7308786,5.8784714,2.5011759,4.448343,0.912999999999999,"G2M"
"398",5.1015253,5.3080225,4.9483886,5.693877,4.1271796,5.016059,3.970892,4.9355774,4.3924956,5.0960493,1.5235317,5.5582356,0.665,"S-ph"
"399",4.7444024,4.941286,4.587669,5.3876486,2.3285785,4.4781933,3.9139354,5.1388474,4.5294447,5.3129144,1.5486972,5.472865,0.473,"S-ph"
"400",5.324425,5.9408584,4.9552813,6.296993,4.732233,5.6548805,4.698348,5.572091,3.4117892,5.824957,2.5136125,5.489665,0.713,"S-ph"
"401",5.6570373,6.7087393,5.288228,6.230872,5.2109847,5.83415,5.4895396,5.7033987,2.7547946,6.3100777,2.511337,5.166781,0.987,"G2M"
"403",5.1025343,5.582404,4.8309765,5.745679,4.0099688,5.540008,4.1297755,5.2959757,3.9729257,4.9584923,2.8929071,5.44941,0.95,"G2M"
"404",5.336157,6.391774,5.1579,5.8528147,5.539483,5.2033134,5.229603,5.507247,4.052186,5.708371,4.423195,4.8565564,0.856,"G2M"
"406",5.159573,6.0321183,5.281313,5.9856095,4.482399,5.3039784,4.3748946,5.55618,3.9924808,6.0212398,5.2628036,5.7659225,0.614,"S-ph"
"407",4.663415,5.3561897,4.7387104,4.523765,3.2529998,4.3960485,4.01351,4.942182,4.9222593,3.8113062,0,5.143945,0.469,"S-ph"
"408",4.4013257,6.5252666,5.136351,5.2761617,5.1999354,5.2761617,4.5210047,5.750863,2.6218972,5.663449,3.8386767,5.006333,0.04,"G1"
"409",5.050863,5.3355436,4.8265285,5.7765555,3.872661,4.469296,4.0988927,5.2970195,4.723608,4.83349,3.9426844,5.680204,0.628,"S-ph"
"410",4.38053,5.2122555,4.3708014,5.5429397,4.2787056,4.4729376,3.5337882,5.2080326,3.6805155,5.2970543,4.4729376,5.406937,0.441,"S-ph"
"411",4.9758782,5.7110243,4.9002633,5.914264,4.7626867,4.659184,4.686081,5.1290426,3.4561133,5.5824876,1.5762315,5.216034,0.927,"G2M"
"412",5.181564,6.623691,5.4247484,5.209921,5.1179476,5.031082,5.1691604,5.56855,3.066881,5.751631,2.4822907,4.1456027,0.023,"G1"
"413",5.4404306,6.3674307,5.495195,5.7573805,5.5628033,5.50843,4.5883503,5.4154944,4.346962,5.6520863,3.2941768,4.259218,0.807,"G2M"
"414",5.2247252,6.60176,5.096684,5.9717245,5.1952863,5.216402,5.0434794,5.784403,3.676354,5.677014,3.506811,5.0434794,0.817,"G2M"
"415",4.2582383,4.644517,4.894503,5.336498,2.7818575,4.637208,3.770855,5.157321,4.310431,4.350309,5.017114,5.7018976,0.376,"S-ph"
"416",4.531768,5.1966558,4.8874617,5.747251,3.2607784,4.3997726,3.5687156,5.4140506,2.9858012,5.0337534,5.9071207,5.954292,0.573,"S-ph"
"417",4.742933,5.221434,4.773917,4.9484444,3.925169,4.7350345,3.7713375,4.5993567,4.8890634,4.4316545,2.3917243,5.245519,0.506,"S-ph"
"418",5.281292,5.742375,4.9859776,6.0174494,4.9281187,5.0698123,5.136469,5.754034,3.3145409,5.5015545,3.17192,5.1785593,0.938,"G2M"
"419",3.8325746,5.557518,5.1539803,4.041976,3.8556013,3.471861,2.9594657,4.182732,3.760131,4.7544923,1.441548,4.745184,0.125,"G1"
"420",5.6673093,6.6153345,5.3917055,6.4517727,5.6869144,5.8751254,4.5388727,5.8086276,3.9055793,6.328525,3.9616187,4.2847795,0.9,"G2M"
"421",4.316279,4.679888,4.487175,5.002729,3.364579,5.623759,3.4721584,4.847859,4.271437,4.567063,3.9496145,5.3760114,0.436,"S-ph"
"422",3.889747,4.8708205,5.1002245,5.8796697,3.9103742,4.8708205,3.4195087,4.98862,3.5447454,5.0360923,3.3855855,5.564041,0.523,"S-ph"
"423",4.007988,4.321474,4.732464,4.486483,1.1791168,3.804533,3.9000978,4.275586,4.8179145,4.3935637,1.4764211,4.835951,0.321,"S-ph"
"424",5.0273066,5.723837,5.116547,5.860278,4.6513495,5.37329,4.7615695,5.526103,2.78833,4.9439154,2.2121558,5.274191,0.958,"G2M"
"425",5.2788534,6.084754,4.9676924,6.1575694,4.96231,5.689162,4.8420253,5.5250897,3.46113,5.797831,4.8778934,5.506473,0.823,"G2M"
"426",4.8120637,5.002406,4.5767674,5.7724843,2.5573044,4.8669763,3.9039047,5.1622467,4.6167693,4.6167693,4.5456796,6.092053,0.910999999999999,"G2M"
"427",5.159198,6.292448,5.6581025,6.6963634,5.612251,5.300663,5.5496097,5.912737,2.9901755,6.3375483,4.6986756,4.0281405,0.892,"G2M"
"428",4.8239136,5.718938,5.36112,5.9641223,4.7528186,5.464916,4.1073356,5.48766,4.120028,5.573791,4.67628,5.937847,0.88,"G2M"
